对话内容,真实意图
对方又迟到，说：“你每次到的时候人都差不多齐了。”,对反复迟到不满
合作对象没回消息，说：“你应该挺忙的，这几天。”,不满对方不回复
朋友借书很久没还，说：“那本书我最近老想再翻翻。”,不满对方拖着不还
室友经常外放视频，说：“你这视频声音还挺清楚的。”,不满对方太吵
同事推给你工作，说：“你这边安排得还挺满的。”,不满对方甩活
“最近老加班，时间有点乱，改天再约吧。”,实则近期都不想赴约，用“忙”模糊回避
“我那本书好像借给别人了，还没还回来。”,实则不愿借出，虚构他人占用作为挡箭牌
“今晚可能不太方便，家里人要视频。”,实则不想参与聚会，用家庭事务作软性托辞
“我那天大概率不在城里。”,实则不打算出席邀约活动，用模糊地点回避承诺
“手机快撑不到下班了。”（边说边看电量）,暗示希望借用充电器或插座
“这周食堂菜好像油特别大。”,暗示想换地方吃饭，或希望有人提议点外卖
“快递堆门口好几天了，都没人拿。”,暗示室友/家人该去取件，或希望帮忙代收
“我耳机线又缠成一团了。”,暗示希望对方借自己一副无线耳机用一下
“今天走路来上班，脚有点酸。”,暗示明天希望能搭顺风车，或对方主动提出接送
“你上次说帮我问的事，后来有消息了吗？”（语气平淡）,实则不满对方未跟进承诺，提醒其失信
“群里发的消息好像没人看到似的。”,实则抱怨大家不回应自己的重要通知
“我昨天等了好久，以为你会回消息。”,实则对对方长时间不回复感到被忽视
“你借我的伞好像没晾干就收起来了。”,实则不满对方使用后不妥善处理，弄坏了物品
“咱们说好的时间，我提前十分钟就到了。”,实则指责对方迟到，强调自己守时却被怠慢
朋友约周末爬山："最近膝盖不太舒服，你们先去吧",不想去，但不想扫兴
同事借车："我这周车好像有点异响，正打算去检修",不想借车
邻居借充电器："我这个充电头好像接触不太好了",不想借，怕弄坏或麻烦
同学约打游戏："我今晚得早点睡，最近作息有点乱",不想玩，可能想独处
亲戚请帮忙搬家："最近腰不太好，重物可能搬不动",不想去，嫌累
室友看着满地头发："这地好像该扫了",暗示对方打扫自己掉的头发
朋友聚会时："这家店的招牌菜好像挺有名的",暗示想点这道菜
同事对着打印机："这纸好像快用完了",暗示别人去换纸或买纸
室友晾着湿衣服："阳台好像没地方挂了",暗示对方收衣服腾空间
家人看着垃圾桶："这垃圾好像快满出来了",暗示希望有人去倒垃圾
朋友回消息很慢："我还以为你手机没电了",不满对方回复不及时
室友深夜外放视频："这墙隔音好像不太好",不满对方吵到自己
同事拖延交报告："领导好像问过进度了",不满对方拖累自己
朋友忘记约定："我昨天还特意确认了时间",不满对方记性差/不重视
室友用完东西乱放："这剪刀好像原来不在这",不满对方不收拾、乱动东西
领导：“这个方案整体还行，就是细节再打磨下”,方案核心逻辑或呈现形式不符合预期，且不直接否定避免打击下属
领导：“这段时间辛苦你了，后续有机会给你争取”,认可你的工作量，但短期内无加薪、晋升等，用“画饼”安抚你继续投入工作
领导：“你看着办就行，别有太大压力”,要求你自主承担所有责任，且不提供明确指导
领导：“这事你和XX（其他下属）商量着来”,不想直接拍板定责，让你们自行分配工作、承担风险
领导：“下次汇报可以更简洁一点”,暗示你提升汇报能力，且对本次汇报不满意
领导：“XX（其他同事）做这类事很有经验，你多向他学学”,否定你当前的工作方法或成果，要求你借鉴他人
同事：“你今天下班这么早啊，我这边还有一堆活没弄完”,试探你是否真的完成了所有工作，或暗示你不够敬业，也可能希望你主动提出帮忙
同事：“这个需求之前没人做过，我也不太清楚怎么下手”,铺垫后续可能向你求助，或提前规避责任，若后续做不好，可借口“无经验”
同事：“领导刚才问这个项目的进度了，我没敢多说”,提醒你领导关注该项目，督促你加快进度，同时暗示自己未承担进度相关的责任
同事：“我这边负责的部分没问题，就看你那边了”,提前划分责任，若项目出问题，暗示是你负责的部分出现纰漏，与自己无关
同事：“听说这个项目做完有额外奖励，咱们一起加油”,试探你对奖励的态度，同时希望你能全力配合自己工作，确保项目完成以拿到奖励
同事：“我家里最近有点事，经常要请假处理”,铺垫后续可能会把部分工作交给你承担，提前打预防针，让你难以拒绝
跨部门对接人：“我们部门有明确的流程，得按步骤来，急不得”,委婉推诿，不想优先处理你的需求，用“流程”为借口拖延时间，降低配合优先级
跨部门对接人：“这个需求涉及我们部门的核心业务，得上报领导审批”,不想直接拒绝，用“上报领导”拖延，大概率领导不会优先审批，实则变相推诿
跨部门对接人：“我们目前的工作重点不在这一块，暂时抽不出精力”,明确表示不配合你的需求，用“工作重点”为借口，既不伤情面，又能拒绝你的要求
跨部门对接人：“这个需求有点复杂，我们得先内部研讨一下”,拖延时间，避免当场敲定配合事宜，研讨大概率无结果，最终不了了之或变相拒绝
跨部门对接人：“我们可以配合，但需要你们提供更详细的资料”,故意提高配合门槛，若你无法提供详细资料，就有正当理由拒绝；若能提供，也可拖延时间
跨部门对接人：“最近我们部门要做季度复盘，所有非紧急需求都得往后排”,将你的需求归为“非紧急”，委婉推诿
跨部门对接人：“这个事我做不了主，得看我们领导的意思”,规避自身责任，增加推进难度，达到推诿目的
“这个方案挺有新意的，但感觉还可以更有‘厚度’一些。”,认为方案太肤浅，完全未达要求
“最近家里没什么事吧？我看你状态挺放松的。”,暗示工作不努力，需加班提高专注
“这件事原则上是可以的，具体你再走一下流程。”,嘴上答应其实不担责
“小王，你是个有想法的人，多发挥主观能动性。”,无资源指令，自想法搞定
“我也很看好你的提议，不过还要看大老板的时间。”,暂不推进，拿上级挡箭
“你最近可是大忙人啊，连见你一面都得预约了。”,试探你是否在绕过团队接私活，或者暗示你最近太高调
“听说这个项目领导非常重视，最后肯定是要出大成绩的。”,试探项目价值，欲分一杯羹
“这个环节我之前没接触过，你是专家，你觉得该怎么弄？”,捧杀推责，出问题按你意思
“最近项目组加班挺凶的吧？看你黑眼圈都出来了。”,关心身体，套取核心信息
“我记得你跟XX部门的刘总关系挺不错的？”,找你动关系或打探口风
“这个需求我们内部还要再过一下会，评估一下技术可行性。”,拖延冷处理，等需求消失
“这件事我们这边没意见，只要财务部/法务部那边点头就行。”,甩锅职能部门，知必被拒
“这个时间节点确实有点紧，我们手头还有几个S级的任务在排队。”,优先级低，无上级施压不办
“你们的方案出发点很好，但和我们部门当下的KPI对齐得不够精准。”,利益不符，无好处不配合
“这样吧，你先把具体的书面邮件发给我们，我们按流程提请批复。”,拒绝非正式求助，要求一切走公事公办的程序。
领导说：“这个方案原则上可行，但细节可以再推敲一下。”,存关键缺陷，需大改，委婉否定
领导在会议上说：“小王最近工作状态还不错，要继续保持。”,表现仅合格，需加倍努力
领导询问：“你觉得这个任务交给小李合适吗？”,疑小李能力，盼提替代人选
领导反馈：“这个项目不急，你们按自己的节奏来。”,实则希望加快进度，但不愿明说施压，测试团队主动性。
领导说：“这事你们再讨论讨论，回头给我个结论。”,实则对当前讨论结果不满，要求重新商议并需他最终拍板。
同事说：“上次那个方法挺有效，这次要不要也试试？”,实则想让你主导或承担本次任务，避免自己单独负责。
同事问：“你下午忙不忙？我这边有点小问题。”,实则为求助做铺垫，希望你能主动提出帮忙。
同事说：“这个数据之前是你整理的，可能你更熟悉。”,实则想将核对或修正数据的责任推给你。
同事在群里@你：“这个流程你比较熟，你看怎么处理合适？”,实则想让你接手棘手环节，避免自己介入麻烦。
同事闲聊：“听说上面最近要调整考核标准了。”,实则试探你是否掌握更多内部消息，或想交换情报。
跨部门对接人说：“这个需求我们需要先内部评估，有结果再同步。”,实则想拖延时间，或不愿优先处理你部门的需求。
对方部门回复：“按制度这事得走审批流程，可能得等一阵。”,实则暗示流程复杂，劝你知难而退或另寻他法。
跨部门同事说：“我们最近重点在忙A项目，你这个可能得排期。”,实则委婉拒绝配合，除非你动用更高层级协调。
对方负责人说：“这个事我需要和领导汇报一下，看领导意见。”,实则不愿自主决策，或借领导之名间接推脱责任。
跨部门邮件回复：“建议我们先明确分工和责任边界，再推进。”,实则对合作有顾虑，想提前划分责任以免后续背锅。
“这个方案整体方向还可以，但细节上可能还需要再打磨一下。”,案存问题需大改，委婉否定
“你先放一放，等我这边有空再看。”,此事优先级低，甚至可能被搁置，暗示你不必投入过多精力。
“小王最近表现挺积极的。”（在你汇报工作后说）,间接批评你不够主动或贡献不足，提醒你向他人看齐。
“这个事你看着办吧，我相信你。”,实际是甩锅或试探，若出问题责任由你承担，成功则功劳归领导。
“大家辛苦了，不过结果还是有点差距。”,工作成果未达预期，隐含不满，要求团队继续加班改进。
“上次那个项目的数据我好像没收到完整版。”,暗示你遗漏了信息交接，可能想推卸后续问题责任或催你补材料。
“领导是不是更倾向用A方案？我看他昨天点头了。”,试探你的立场，同时为后续若方案失败预留“跟风”借口。
“你跟财务部熟吗？他们流程卡得有点严。”,希望你利用关系帮忙疏通跨部门流程，而非单纯抱怨。
“这个模块如果没人接手，上线可能会延期。”,明知你手头有余力，变相请求你接手额外任务。
“你之前做过类似需求，能不能给我点参考？”,实则是想让你直接提供现成方案或代劳部分工作。
“系统最近在升级，接口暂时不稳定，建议你们下周再试。”,并非技术问题，而是不愿配合当前排期，用“客观原因”拖延。
“这个需求我们理解，但目前不在本季度OKR里。”,拒绝配合，因该事项对其部门无绩效收益，不愿投入资源。
“需要你们先走完OA审批流程，我们才能启动。”,实则希望你知难而退，因内部流程复杂且耗时，借此婉拒。
“我们领导还没明确指示，暂时不敢动。”,将责任上移，实为本部门无意推进，借“上级未批”挡箭。
“你们的需求我们记下了，会排进后续规划。”,实为礼貌性敷衍，短期内无执行计划，避免直接说“不”。
来就来了，还带什么东西啊，快拿回去,客套推辞，你再劝两句我就收下
这怎么好意思，太破费了，真不用,表面客气，心里已经接受这份礼
你这太客气了，咱们之间不用这样,礼数性推辞，希望你再坚持一下
让你花钱多不合适，赶紧拿回去吧,常规推辞，并非真心不想收
人来就行了，还买东西，多见外啊,客套话，再递一下就会收下
你这是干什么，搞得我都不好意思了,假装推辞，实际很受用这份心意
下次可不许这样了，不然我生气了,嘴上责怪，实则已经收下并领情
还让你破费，多不好意思，下次别这样,委婉推辞，内心认可并准备收下
咱们这关系，还来这套虚的干嘛,以亲近为由推辞，实则等待你坚持
这东西太贵重了，我可不能收,表面推脱，你再劝就会收下
快拿回去，不然我可不高兴了,故作生气，是典型的收下前的推辞
让你费心了，真不用这么客气,客套表达，并非真心拒绝
你这太见外了，以后不许这样,礼数走完，默认接受礼物
还花钱买东西，多浪费啊,假意心疼钱，实际很开心
我都没给你准备东西，你还送我,反向推辞，等待你坚持收下
上次你家那事，我可是跑前跑后帮了不少忙,暗示你现在该帮我解决问题
当年你困难的时候，可是我拉了你一把,提醒你欠我人情，现在该还了
你结婚那回，我可是随了大礼还帮忙张罗,暗示我有事你得上心帮忙
之前你找我帮忙，我哪次没答应过,提醒过往人情，希望你这次帮我
你孩子上学那事，我可是托了不少关系,暗示我有需求，你要出力解决
上次我家办事，你没来但我可记着你,提醒人情往来，希望你这次补上
当年要不是我帮你说话，这事成不了,暗示你要记恩，现在该回报我
你之前缺钱，我可是二话没说借给你,提醒你欠人情，希望你帮我
上次你工作上的事，我可是帮你兜底了,暗示我现在有难，你要帮我
咱们这么多年交情，我对你怎么样你清楚,不直说，暗示你该帮我还人情
你刚来时，什么事不是我帮你打点的,提醒过往付出，希望你现在回报
上次你家人生病，我可是去看望还帮忙了,暗示我有事，你要主动帮忙
当初要不是我给你搭线，你哪有这机会,提醒恩情，希望你兑现人情
我平时有好事都想着你，你可得记着,暗示希望你在我需要时帮忙
你遇到难处那回，也就我真心帮你了,强调付出，暗示该轮到你帮我
这事多亏了你，不然我真不知道怎么办,真心感谢，认可你的关键帮助
你还一直记着这事，真有心了,高度认可你的心意，比谢谢更重
有你这句话，我心里就踏实多了,认可你的安慰与支持，十分暖心
还是你想得周到，什么都帮我考虑到了,高度赞赏你的细心与付出
这事你放在心上，我就很感激了,认可你的重视，表达真诚谢意
有你帮忙，我省了不知道多少事,真心感谢你的帮助，认可你的价值
难为你还专门为我跑一趟，太辛苦了,认可你的付出，内心十分感动
你能来，我就很开心了,认可你的到来，比礼物更重要
还是你靠谱，有事找你准没错,高度认可你的能力与人品
你这孩子，真是个有心人,长辈对晚辈的极高认可与喜爱
今天真的麻烦你了，耽误你不少时间,真诚感谢，表达歉意与领情
有你这句话，我就放心了,认可你的承诺，感到安心
你处处为我着想，我都看在眼里,含蓄表达感动与感谢
这次真的仰仗你了，多谢多谢,真心依赖并感谢你的帮助
你太客气了，这礼物太贵重了，我不能收。,实则内心愿意接受，若对方再次坚持或说明心意，便会收下。
咱们之间不用搞这些，心意我领了，东西拿回去吧。,希望对方能再推让一两次以示诚意，之后便会欣然接受。
今天这顿饭说什么也得我请，你别跟我抢。,希望对方做做样子争抢一下账单，但最终应允自己来请。
人来了就行，还带什么东西啊，下次可不准这样了。,对送礼行为表示认可和高兴，提醒只是客套，期待下次依然有礼。
这多不好意思，让你破费了。,表示谦逊和感谢，实则已经准备接受礼物。
这酒你留着喝，我带回去像什么话。,希望对方再劝一句“专门给您带的”，自己便顺势收下。
家里什么都不缺，你这钱拿回去给孩子买点东西。,若对方执意说“一点心意”，便会收下红包，并记下人情。
这事我顺带办的，不值当专门请吃饭。,希望对方坚持邀请，以显示其诚意和对自己的重视。
你工作忙，不用专门跑一趟来看我。,内心很高兴对方能来，希望对方说“再忙也得来看看您”并留下。
这茶太贵重了，我尝一泡就行，剩下的你带回去。,通过“尝一泡”给对方台阶，若对方说不必带回去，便会全部留下。
孩子的一点心意，您就收下吧，不然我回去没法交代。,用孩子作为理由，促使对方必须接受，避免驳孩子面子。
今天这单您千万别买，您来我这，哪能让您请客。,通过强调“主人”身份来坚持请客，希望客人不再争执，接受安排。
这东西我那儿也有，你留着用多好。,试探对方是否真心赠送，若对方坚持，便接受。
帮我这么大忙，请你吃饭是应该的，你千万别推辞。,强调“应该”来施加人情压力，使对方不好再拒绝，必须接受宴请。
您这么大老远带来，我收下不合适，路上多辛苦。,通过体恤对方辛苦来推托
记得当年你创业最难的时候，我在你那儿可投了点心血啊。,提醒你现在的成功有他的功劳，该到他需要帮助的时候了。
我们家那口子总夸你能干，说办什么事都靠谱。,暗示最近有事情需要你帮忙，并且希望你像以前一样可靠地办成。
这房子装修得真不错，当年你买房，我还介绍过一位老师傅呢。,现在可能需要你提供其他帮助或资源。
你看我这对你，可比对自家亲戚还上心。,希望你记住这份“超额”人情并适时回报。
你表哥工作的事，当年我可是跑断了腿。,暗示现在需要你为他或他的家人办事作为回报。
咱两家这关系，说钱就外道了，当初互相帮衬都是应该的。,实则强调“互相帮衬”的长期性，暗示现在轮到你帮衬了。
我这个人啊，就记得谁对我好。,表达自己是个知恩图报的人，同时也提醒对方记得自己对他的好。
孩子以后找工作，还得靠你们这些有本事的叔叔多指点。,为未来提出铺垫性请求，暗示将来孩子求职时需要你的帮助。
那会儿你急用钱，我二话没说就转给你了。,提醒对方现在自己可能也有经济需求或需要支持。
老王那人不行，上次有事找他，推三阻四的。不像咱们。,通过贬低别人不帮忙，来抬高并暗示“咱们”之间应该互相帮忙。
我这人就是心软，看不得朋友为难。,标榜自己过去的付出，暗示对方不应让自己现在需要对方帮忙。
你如今混得好了，圈子也广了。,暗示你已经拥有更多资源，是时候利用这些资源来回报旧友了。
当年那个机会，我可是在领导面前力荐你的。,暗示现在需要你在某些事上支持他。
咱们这辈人，就是讲究个“有来有往”。,直接点明人情往来的核心规则，含蓄地提醒对方该“往”了。
我最近为这事啊，愁得都睡不好觉。,但期望对方能主动提出帮忙以还人情。
这孩子，做事越来越周到了。,对晚辈的成长和付出表示高度赞许和欣慰，比直接表扬更显亲切。
这件事办得，让人心里很暖和。,表达深深的感激和感动，认为对方的行为贴心、超出了预期。
钱不钱的不重要，难得的是这份心意。,强调情意比物质更珍贵，表达对对方用心的高度认可。
也就你能想到这儿了。,肯定对方的用心和重要性。
这顿饭吃得值，不光是为了吃饭。,暗示席间达成的共识或建立的情感连接比食物本身更有价值
你这朋友，我算没白交。,用“没白交”这个否定式表达，强烈肯定对方的义气和价值。
东西我用了，很好，费心了。,表示不仅收到而且认可礼物，并用“费心”二字含蓄表达谢意。
话不多说，都在心里了。,表示情感深厚，一切记在人情账里，是极重的承诺。
还是你考虑得周全，我都没想起来。,通过对比自己的疏忽，来突出和感谢对方思维的缜密与体贴。
有你在，我就放心了。,表达对对方能力和可靠性的绝对信任，是极高的评价和托付。
你这手艺，都快赶上老师傅了。,用类比名师的方式，给予对方技艺极高的、不直露的赞美。
咱们之间，不用搞那些虚的。,表面说不用客套，实则肯定双方关系牢固、实在，认可对方的真诚。
这件事让你受累了。,表达体恤和感谢，隐含“我记得这份辛苦”之意。
你这个情，我领了。,正式表示接受并铭记对方的人情馈赠，暗示未来会有所回报。
看来我是没看错人。,通过对当初选择的肯定，来表达对对方当下行为的极度满意和赞赏。
“哎呀，这怎么好意思收，快拿回去吧。”,若对方再坚持一下，就会收下；这是礼节性推辞，非真心拒绝。
“你来就来呗，还带东西干啥，太见外了！”,实际期待对方坚持留下礼物，体现彼此关系亲近但不失礼数。
“家里啥都不缺，你留着自己用吧。”,暗示若对方强调“一点心意”或“不值钱”，便会接受。
“上次你才来过，这次又破费，真不用！”,表面推辞，实则希望对方再次强调诚意后收下。
“你这不是让我难做人嘛，我怎么能收？”,暗示自己若收下会欠人情
“这么贵重的东西，我哪敢要啊！”,实为试探礼物价值是否合适，若对方轻描淡写说“不值什么”，便收下。
“你要是再这样，下次我都不敢上你家门了。”,用“不敢上门”反向施压，实则希望对方坚持，维持互惠关系。
“孩子都这么大了，你还惦记着，真不用操心。”,表面说孩子大了不用管，实则感激对方持续关照，若再递一次就收。
“你工作那么忙，还专门跑一趟，太麻烦你了。”,强调“麻烦”是客气，实则感动于对方用心，准备接受。
“这酒我喝不惯，你带回去吧。”,并非真不喝，而是等对方说“这是特意给你挑的”，便欣然收下。
“你这份心我领了，东西真不能要。”,“心领了”是过渡语，若对方再劝一句“就是点土产”，就会接受。
“我们两家谁跟谁啊，搞这些虚的干嘛。”,强调关系亲密，实则希望对方用“一点心意”化解“虚”，从而收下。
“你再这样我生气了啊！”,用“生气”作为最后防线，若对方笑着继续递，便笑着收下。
“我这儿正打算给你送点呢，你倒先来了。”,暗示互赠合理，为接受对方礼物铺垫台阶。
“你放这儿我也不好处理，还是你拿回去吧。”,“不好处理”是借口，若对方说“放冰箱就行”，便不再推辞。
“那年你爸住院，我还连夜骑车去送过汤呢。”,暗示你现在该回报我了，尤其在我有困难时。
“你结婚那会儿，我可是把压箱底的钱都拿出来了。”,提醒你曾受我大恩，如今轮到你帮我一把。
“上次你弟找工作，要不是我托老张，哪那么容易？”,暗示现在你该为我的事出力了。
“咱们从小一块长大，我啥时候亏待过你？”,强调过往情义，暗示你此刻不应推脱我的请求。
“你妈走的时候，里里外外都是我在张罗。”,提及重大付出，意在唤起你的责任感与回报义务。
“当年要不是我帮你担保，你能贷到那笔款？,提及风险性帮助（担保），暗示现在需要对方承担风险或出力
我对你可是没二话，现在我有难了...,对比过往"没二话"的付出，暗示现在对方也该"没二话"
你现在的日子好过了，可别忘了当初是谁拉你一把的,直接点出"拉一把"的恩情，要求对方现在"拉自己一把"
难为你还想着，不容易,比"谢谢"更重，暗含"你懂事了、有良心"的高度认可
你这孩子，总是这么周全,长辈对晚辈的最高评价，认可其处事周到、懂礼数
有这份心，比什么都强,淡化物质，强调心意，实则极度满意对方的用心
你办事，我放心,简短一句，传递深度信任，比长篇感谢更有分量
没白疼你,长辈对晚辈的极致认可，暗示过往的付出得到了回报
你比亲生的还贴心,将对方提升至"亲人"高度，是中式关系中的最高褒奖
这件事你办得漂亮，有章法,认可能力+态度，暗示对方可堪大用，值得深交
你是个知道冷暖的人,认可对方懂人情世故、知恩图报，是极高的评价
跟你打交道，踏实,用"踏实"形容，传递信任感和长期交往的意愿
你有这个悟性，以后错不了,长辈对晚辈的期许式认可，暗示已将其纳入"自己人"范畴
这件事你考虑得比我还周到,降低自己抬高对方，是中式社交中的高阶认可
你是个有后福的人,不直接夸现在，而是祝福未来，暗含"我愿意助你成福"
跟你合作，省心,职场/生意场中的高评价，暗示愿意长期合作
你这份情，我记下了,将对方的付出记为"情分"，承诺未来必回报，比"谢谢"更重
难得你这么有心，很难得,重复"难得"强调稀缺性，暗示对方的用心在自己这里分量极重
女儿频繁晚归，母亲晚饭时说：“最近小区晚上路灯坏了两盏，走夜路不太安全”,试探女儿晚归的安全性，不直接指责晚归，委婉表达牵挂
姐姐跟妹妹闲聊，说：“我家孩子生日，也就你还记得送礼物，其他人都忘了”,暗含委屈（觉得其他人不重视自己），也藏着对妹妹的认可
邻居敲门说：“我家老人睡眠不太好，晚上稍微有点动静就醒”,委婉提醒对方，家里晚上声音太大，影响到自家老人休息
超市结账时，前面的人对身后排队的人说：“我东西有点多，整理起来要慢一点”,委婉表达歉意，提醒身后的人耐心等待，避免对方产生不满
父亲看到儿子只穿一件薄外套出门，说：“今天楼下大爷出门，都穿羽绒服了”,用旁人的穿着传递“天气很冷”，暗含关心，提醒儿子注意保暖
同事看到对方一直盯着电脑加班，说：“我刚才去打水，看到茶水间有热乎的面包”,暗示对方该补充能量，关心对方的身体，避免直白提醒的生硬
母亲跟儿子打电话，说：“你爸最近总念叨，说好久没一起吃顿饭了”,试探儿子是否有时间回家，藏着父母对儿子的思念
闺蜜闲聊，说：“我上次遇到困难，找了好几个人，都没人愿意搭把手”,暗含委屈，期待闺蜜能主动关心、给予支撑
父亲对刚工作的儿子说：“你表哥刚工作半年，就给家里寄钱了”,暗示儿子可以学着回馈家里，表达对儿子的期待
奶奶跟孙女说：“这糕点真好吃，就是我牙口不好，没几口能吃的”,希望孙女以后能记得自己牙口不好，买适合自己的食物
陌生人在电梯里，对旁边玩手机的人说：“电梯里信号好像不太好，刷东西总卡顿”,委婉提醒对方，玩手机时可能手机声音太大影响他人
楼下邻居碰到楼上住户，说：“最近总听到头顶有咚咚的声音，我家孩子写作业容易分心”,提醒楼上住户，走路、搬东西的声音太大，影响到自家孩子学习
餐厅邻桌，客人对旁边大声说话的人说：“这家餐厅的环境还挺安静的，说话都能听得很清楚”,委婉提醒对方，说话声音太大，影响到了自己
