词句,解读内容（①字面意思 ②核心意象隐喻 ③作者情感/思想）
唐诗·贾岛《题李凝幽居》鸟宿池边树，僧敲月下门,①字面意思：鸟儿栖息在池塘边的树上，僧人在月光之下，轻轻敲着（李凝幽居的）门。②核心意象隐喻：“鸟宿”以鸟儿的归巢，隐喻宁静安宁的心境，也暗合幽居之地的静谧；“池边树”象征清幽的环境，暗喻隐逸生活的自在；“僧”象征清净脱俗、不恋尘嚣的修行者，暗喻作者对隐逸心境的追求；“月下”烘托宁静淡远的氛围，隐喻心灵的澄澈与超脱。③作者情感思想：表面描写幽居之地的静谧场景与僧人敲门的细节，实则抒发对清幽隐逸生活的热爱与向往，表达自身不慕荣华、追求心灵宁静、渴望超脱世俗的思想，极易被模型误读为单纯写景，忽略背后的隐逸情怀。
唐诗·姚合《闲居》不自识疏鄙，终年住在山,①字面意思：自己并不觉得自身粗疏鄙陋，一年到头都居住在山中。②核心意象隐喻：“山”是远离世俗官场、清幽自在的隐逸之境，隐喻作者避世隐居的选择；“终年住山”并非单纯的居住选择，隐喻坚守隐逸之志、不与世俗同流合污的执着；“疏鄙”看似自谦，实则是对世俗功利的不屑，隐喻自身淡泊名利、坚守本心的品格。③作者情感思想：表面表达自己常年居山、不觉得自身粗疏的心境，实则抒发对隐逸生活的热爱与坚守，表达不慕荣华、淡泊名利、不屑于世俗功利的思想，藏有“安贫乐道、坚守本心”的潜台词。
唐诗·许浑《早秋》残雨隔帘看燕语，斜阳满地照兰芽,①字面意思：残留的雨水隔着门帘，看着燕子在雨中呢喃细语；夕阳的余晖洒满大地，映照著新生的兰芽。②核心意象隐喻：“残雨”象征残留的愁绪与失意，也暗喻人生的困顿与波折；“燕语”以燕子的呢喃，反衬环境的宁静与自身的孤寂；“斜阳”烘托淡远而略带落寞的氛围，隐喻时光的流逝与心境的平和；“兰芽”象征新生的希望与高洁的品格，暗喻作者在失意中依然坚守本心、心怀希望。③作者情感思想：表面描写早秋残雨、斜阳兰芽的景色，实则借景抒发人生失意后的孤寂与平和，表达在困顿中依然坚守高洁、心怀希望的思想，情感含蓄，藏而不露。
唐诗·温庭筠《商山早行》鸡声茅店月，人迹板桥霜,①字面意思：鸡叫声中，茅草搭建的旅店沐浴在月光之下；木板桥上覆盖着寒霜，留下了行人的足迹。②核心意象隐喻：“鸡声”象征黎明的到来，也烘托羁旅的艰辛与孤寂；“茅店”象征简陋的羁旅之所，暗喻漂泊无依的境遇；“月”象征思乡之情，也烘托清冷的氛围；“人迹”象征漂泊的行踪，“板桥霜”以寒霜的清冷，隐喻羁旅的艰辛与孤独。③作者情感思想：表面描写商山早行的艰辛场景，实则借景抒发深沉的羁旅之愁与思乡之情，将漂泊的孤独、旅途的艰辛与思乡的愁苦藏于清冷之景中，是典型的“借景抒情”，情感内敛深沉。
唐诗·李商隐《凉思》桂魄初生秋露微，轻罗已薄未更衣,①字面意思：月亮刚刚升起，秋露还十分细微；身上的轻薄罗衣已经显得单薄，却还没有更换衣物。②核心意象隐喻：“桂魄”即月亮，象征思念与团圆，也烘托清冷的氛围；“秋露微”象征秋意渐浓，暗喻思念之情的渐深与孤寂的渐浓；“轻罗薄衣”既写秋日的微凉，也隐喻内心的孤寂与凄凉，“未更衣”暗喻心绪不宁、无心顾及自身，将所有心思都寄托在思念之中。③作者情感思想：表面描写秋日微凉、自身未更衣的细节，实则借景与细节，抒发深沉的思念之情与内心的孤寂，情感含蓄细腻，不直写思念，却将思念藏于每一处细节之中，极易被模型误读为单纯描写秋日情态。
唐诗·杜牧《秋夕》天阶夜色凉如水，坐看牵牛织女星,①字面意思：皇宫的台阶上，夜色清冷如流水；（宫女）坐着仰望天上的牵牛星和织女星。②核心意象隐喻：“天阶”象征皇宫的清冷与孤寂，暗喻宫女被困深宫的境遇；“夜色凉如水”既写秋日的清冷，也隐喻内心的悲凉与孤寂；“牵牛织女星”象征爱情与团圆，反衬宫女孤独无依、团圆难再的悲惨境遇，暗喻对自由与幸福的渴望。③作者情感思想：表面描写宫女秋夜仰望星空的场景，实则借宫女的境遇，抒发对深宫女子悲惨命运的同情，以及对自由与幸福的向往，藏有“以小见大、借景抒怀”的潜台词，情感含蓄深沉。
唐诗·罗隐《蜂》采得百花成蜜后，为谁辛苦为谁甜,①字面意思：蜜蜂采集了百花的花粉，酿成了甘甜的蜂蜜，可它这般辛苦劳作，到底是为了谁付出、为了谁带来甘甜呢？②核心意象隐喻：“蜂”象征辛勤劳作、默默付出的人，此处暗喻作者自身以及天下所有怀才不遇、辛勤付出却得不到回报的士人；“百花”象征辛勤付出的过程，“蜜”象征付出后的成果，却反问“为谁辛苦为谁甜”，隐喻成果被他人窃取、自身徒劳无功的境遇。③作者情感思想：表面描写蜜蜂采花酿蜜的辛劳，实则借蜜蜂的境遇，抒发自身怀才不遇、辛勤付出却得不到赏识与回报的愤懑与怅惘，同时暗含对世俗不公的批判，情感直白却不浅薄，藏有深刻的人生感慨。
唐诗·杜荀鹤《小松》自小刺头深草里，而今渐觉出蓬蒿,①字面意思：松树从小就顶着尖锐的枝头，生长在深深的草丛之中；如今渐渐长大，已经能超出周围的蓬蒿了。②核心意象隐喻：“小松”象征年轻有为、才华初露的士人，也隐喻作者自身的才华与抱负；“刺头”既写小松的形态，也隐喻不卑不亢、坚守本心的品格；“深草里”象征出身低微、境遇艰难的处境；“出蓬蒿”象征才华逐渐显露、摆脱困境的希望，也隐喻对未来的期盼。③作者情感思想：表面描写小松生长的过程，实则借小松的成长，抒发自身才华初露、渴望被赏识、摆脱困境、实现抱负的心境，同时表达坚守本心、不卑不亢的品格，是典型的“托物言志”。
唐诗·陆龟蒙《白莲》素花多蒙别艳欺，此花真合在瑶池,①字面意思：洁白素雅的莲花，常常被其他艳丽的花朵欺凌；这白色的莲花，真正应该生长在仙境瑶池之中。②核心意象隐喻：“白莲”象征洁白素雅、高洁不凡的品格，暗喻作者自身的高洁与才华；“别艳”象征世俗中艳丽浮华、趋炎附势的人，暗喻世俗的功利与不公；“瑶池”象征仙境，隐喻远离世俗尘嚣、能让高洁之士施展才华的理想之地。③作者情感思想：表面赞美白莲的高洁，感慨其被世俗艳丽花朵欺凌的境遇，实则借白莲“托物言志”，抒发自身高洁不凡却被世俗排挤、怀才不遇的愤懑，以及对理想境遇的向往，藏有对世俗浮华的不屑。
唐诗·皮日休《秋江晓望》万顷湖天碧，一星飞鹭白,①字面意思：广阔无垠的湖水与天空连成一片，呈现出澄澈的碧色；一只白鹭像一颗白色的星星，在空中飞翔。②核心意象隐喻：“万顷湖天”象征广阔无垠的天地，暗喻作者渴望自由、超脱世俗的心境；“碧”既写湖天的颜色，也隐喻心灵的澄澈与纯净；“一星飞鹭”以白鹭的洁白与灵动，象征高洁、自由的品格，“飞”暗喻对自由的追求，反衬环境的辽阔与自身的孤寂。③作者情感思想：表面描写秋江晓望的壮阔美景，实则借湖天、飞鹭等景物，抒发对自由与高洁的追求，以及内心深处的孤寂与超脱，情感淡远含蓄，藏有“景中藏情、情随景生”的潜台词。
唐诗·聂夷中《田家》父耕原上田，子劚山下荒,①字面意思：父亲在原野上耕种田地，儿子在山下开垦荒芜的土地。②核心意象隐喻：“原上田”“山下荒”象征农民辛勤劳作的土地，也隐喻底层百姓艰难的生计；“父耕子劚”以父子二人的辛勤劳作，象征底层百姓世世代代的艰辛，暗喻社会的不公与百姓的苦难；“耕”“劚”两个动作，隐喻辛勤付出却难以摆脱贫困的境遇。③作者情感思想：表面描写农民父子辛勤劳作的场景，实则借场景抒发对底层百姓苦难生活的同情，以及对社会不公的批判，藏有“以小见大、借事抒怀”的深刻内涵，极易被模型误读为单纯描写农耕生活。
元曲·张可久《殿前欢·离思》和云流出空山，甚年年净洗，花香不了,①字面意思：溪水伴着云雾，从空寂的山中流出；为何年复一年地流淌洗涤，山间的花香却始终消散不尽。②核心意象隐喻：“空山”象征清幽而孤寂的环境，暗喻离别后的孤独境遇；“云”“溪水”象征时光的流逝与离愁的绵延不绝，“流水”是古典文学中离愁的经典意象，此处更显含蓄；“花香不了”以花香的持久不散，隐喻思念之情的绵长、无法排遣，花香即思念的具象化。③作者情感思想：不直抒离别后的离愁与思念，而是借空山、流水、花香等景物，将思念藏于景中，抒发离别后思念难遣、时光愈久情愈浓的深沉情感，含蓄婉转，藏情于景，极易被模型误读为单纯写景。
元曲·徐再思《水仙子·夜雨》一声梧叶一声秋，一点芭蕉一点愁,①字面意思：每落下一片梧桐叶，就增添一分秋意；每一滴雨水打在芭蕉叶上，就增添一分愁绪。②核心意象隐喻：“梧叶”是秋日萧瑟、羁旅愁思、离别之苦的经典意象，每一片落叶都象征愁绪的叠加；“芭蕉”在古典文学中常与孤独、思乡、夜不能眠相关，“芭蕉夜雨”更是孤寂愁苦的具象化；“一声”“一点”的反复，强化愁绪的细碎、绵长，挥之不去。③作者情感思想：以夜雨秋声为背景，将自然声响与内心愁绪完美融合，不直写“愁”，却句句藏愁，抒发羁旅漂泊、深夜思乡、百无聊赖的深沉愁苦，是典型的“借景抒情”，情感内敛而深沉。
元曲·乔吉《水仙子·寻梅》冬前冬后几村庄，溪北溪南两履霜,①字面意思：冬至前后，我走过了好几个村庄；溪水的南岸与北岸，都留下了我沾满寒霜的脚印。②核心意象隐喻：“冬前冬后”点明严寒时节，象征寻梅环境的清苦与艰难，暗喻追求理想品格的不易；“两履霜”以双脚沾满寒霜的细节，象征寻梅的执着与不畏艰难的精神；“梅”虽未直写，却是全篇的精神核心，象征高洁、坚贞、不与世俗同流合污的品格。③作者情感思想：表面描写冬日寻梅的行踪，实则借寻梅的艰辛，“托物言志”，抒发对高洁品格的执着追求、孤高自守、不与世俗同流合污的风骨，藏有深刻的精神追求。
元曲·张可久《人月圆·山中书事》松花酿酒，春水煎茶，竹篱茅舍,①字面意思：用松花粉酿造美酒，用春天的泉水煮煎香茶，居住在竹编篱笆、茅草搭建的屋舍之中。②核心意象隐喻：“松花”象征山林的清幽与高洁，暗喻远离尘嚣的心境；“美酒”“春水煎茶”象征隐逸生活的闲适与自在，暗喻淡泊名利、宁静致远的人生态度；“竹篱茅舍”与世俗的朱门大院形成鲜明对比，象征安贫乐道、不慕荣华的处世品格，是隐逸生活的具象化。③作者情感思想：看似直白描写山林隐居的闲适生活，实则借生活场景，抒发对官场喧嚣的厌倦、淡泊名利的志向，以及隐居自守、与自然相融的人生追求，极易被模型误读为单纯描写田园闲适，忽略背后的避世与坚守。
元曲·马致远《寿阳曲·潇湘夜雨》渔灯暗，客梦回，一声声滴人心碎,①字面意思：渔船上的灯火昏暗不明，漂泊的游子从梦中醒来；夜雨声声，每一声都滴得人肝肠寸断。②核心意象隐喻：“渔灯暗”象征漂泊的孤寂与迷茫，暗喻游子无依无靠的境遇；“客梦”象征思乡之情与对安稳生活的期盼，“梦回”则暗喻梦境的虚幻与现实的残酷；“夜雨”是离愁、思乡、孤寂的经典意象，“滴人心碎”将夜雨与内心的愁苦绑定，隐喻愁绪的深重。③作者情感思想：借潇湘夜雨的凄清场景，抒发羁旅漂泊的孤独、深沉的思乡之情，以及对现实境遇的无奈与愁苦，情感直白却不浅薄，将游子的悲苦藏于每一处景物与声响之中。
元曲·白朴《天净沙·秋》孤村落日残霞，轻烟老树寒鸦,①字面意思：孤独的村庄沐浴在夕阳与残留的晚霞之中，淡淡的炊烟缭绕，老树上栖息着寒冷的乌鸦。②核心意象隐喻：“孤村”象征孤独、荒凉，暗喻作者内心的孤寂与对世事沧桑的感慨；“落日残霞”象征时光的流逝、繁华的落幕，烘托凄凉的氛围；“轻烟”象征缥缈、虚幻，暗喻过往的回忆与心境的迷茫；“老树寒鸦”象征衰老、孤寂，暗喻身世的飘零与境遇的凄凉。③作者情感思想：表面描写秋日乡村的凄凉景色，实则借景抒发内心的孤寂、身世的飘零，以及对世事沧桑、繁华易逝的感慨，情感淡远而悲凉，是典型的“借景抒情”。
元曲·关汉卿《四块玉·闲适》南亩耕，东山卧，世态人情经历多,①字面意思：在南边的田地耕种，在东边的山上隐居，世间的人情冷暖、世态炎凉，我已经经历得太多了。②核心意象隐喻：“南亩耕”“东山卧”都是隐逸生活的经典象征，隐喻远离官场、避世隐居的选择；“南亩”象征田园生活的自在，“东山”象征隐逸的心境；“世态人情经历多”暗喻过往的官场沉浮与世俗磨砺，隐喻对世俗功利的厌倦与超脱。③作者情感思想：表面描写隐居田园的闲适生活，实则借隐居之事，抒发对官场黑暗、世态炎凉的厌倦，以及淡泊名利、追求心灵宁静、超脱世俗的思想，藏有“历经沧桑后的淡然与坚守”。
元曲·郑光祖《蟾宫曲·梦中作》半窗幽梦微茫，歌罢钱塘，赋罢高唐,①字面意思：半扇窗户之下，幽远的梦境朦胧迷茫；在梦中，我唱完了赞美钱塘的歌谣，写完了描摹高唐的辞赋。②核心意象隐喻：“半窗幽梦”象征虚幻、朦胧的心境，暗喻对美好往事的回忆与思念；“钱塘”“高唐”都是古代繁华之地与情爱典故的代称，隐喻美好的过往与心中的眷恋；“歌罢”“赋罢”暗喻梦境的短暂与美好，反衬现实的孤寂与失落。③作者情感思想：表面描写梦中的场景与举动，实则借梦境抒发对美好过往的思念、对现实孤寂的怅惘，以及对美好情感的眷恋，情感含蓄朦胧，藏有“虚实结合、借梦抒怀”的潜台词，极易被模型误读为单纯描写梦境。
元曲·张养浩《山坡羊·骊山怀古》骊山四顾，阿房一炬，当时奢侈今何处,①字面意思：站在骊山上四处眺望，阿房宫早已被一把大火烧毁；当年秦始皇的奢侈繁华，如今又在哪里呢？②核心意象隐喻：“骊山”“阿房宫”都是秦始皇奢侈繁华的象征，暗喻历代帝王的功名利禄与繁华盛世；“一炬”象征战火的残酷与繁华的易逝，暗喻世事的变迁与无常；“当时奢侈今何处”的反问，隐喻对功名利禄的不屑与对世事无常的感慨。③作者情感思想：表面凭吊骊山、感慨阿房宫的兴衰，实则借历史兴衰，抒发对世事无常、繁华易逝的感慨，批判帝王的奢侈无度，同时表达自身淡泊名利、超脱世俗的思想，藏有深刻的历史反思。
元曲·乔吉《清江引·秋怀》西风信来家万里，问我归期未,①字面意思：西风带来了万里之外家乡的消息，问我回家的日期还没有确定。②核心意象隐喻：“西风”是秋日的象征，也是思乡之情的触发点，暗喻时光的流逝与内心的孤寂；“信来家万里”象征家乡的思念与牵挂，“万里”暗喻漂泊的遥远与归乡的艰难；“归期未”暗喻漂泊的无奈与对归乡的期盼，隐喻对安稳生活的渴望。③作者情感思想：表面描写西风传信、询问归期的场景，实则借简单的对话与景物，抒发深沉的思乡之情、漂泊的无奈，以及对归乡的迫切期盼，情感直白却真挚，藏有“天涯沦落人的悲苦”。
元曲·徐再思《殿前欢·观音山眠松》老苍龙，避乖高卧此山中,①字面意思：那棵苍老的松树，像一条老苍龙，为了躲避世间的纷争，高高地静卧在这座山中。②核心意象隐喻：“老苍龙”喻指苍老的松树，也隐喻作者自身历经沧桑、坚守本心的品格，“苍龙”象征坚贞、不屈；“避乖”即躲避世间的纷争与不公，隐喻避世隐居的选择；“山中”象征远离尘嚣、清幽自在的隐逸之境，暗喻超脱世俗的心境。③作者情感思想：借松树“托物言志”，将松树比作老苍龙，抒发对世间纷争的厌倦，以及避世隐居、坚守本心、不与世俗同流合污的思想，同时表达自身历经沧桑后的淡然与孤高。
元曲·张可久《寿阳曲·烟寺晚钟》寒烟细，古寺清，近黄昏礼佛人静,①字面意思：淡淡的寒烟细细飘散，古老的寺庙清幽宁静；临近黄昏，礼佛的人已经散去，四周一片寂静。②核心意象隐喻：“寒烟”象征清冷、孤寂的氛围，暗喻作者内心的澄澈与超脱；“古寺”象征清净、超脱世俗的地方，暗喻避世隐居的理想之地；“黄昏”烘托宁静淡远的氛围，隐喻时光的流逝与心境的平和；“人静”象征远离世俗的喧嚣，暗喻心灵的宁静与超脱。③作者情感思想：表面描写烟寺晚钟、清幽寂静的场景，实则借景抒发对清幽宁静生活的热爱与向往，表达自身不慕荣华、追求心灵超脱、避世隐居的思想，情感淡远含蓄，藏有“宁静致远”的内涵。
元曲·马致远《寿阳曲·远浦帆归》夕阳下，酒旆闲，两三航未曾着岸,①字面意思：夕阳西下，酒馆的酒旗悠闲地飘动着；两三艘船还没有靠岸停泊。②核心意象隐喻：“夕阳”象征黄昏的宁静与时光的流逝，也暗喻漂泊者的归心；“酒旆闲”象征闲适、安宁的生活，暗喻对安稳生活的向往；“两三航未曾着岸”象征漂泊的行踪与归乡的艰难，暗喻漂泊者的孤独与无奈。③作者情感思想：表面描写远浦帆归的宁静场景，实则借景抒发对安稳生活的向往、对漂泊生活的厌倦，以及漂泊者的孤独与归乡的期盼，情感淡远而真挚，藏有“天涯归客的情怀”。
元曲·白朴《驻马听·吹》裂石穿云，玉管宜横清更洁,①字面意思：笛声高亢嘹亮，能冲破石头、穿透云霄；玉制的笛管适合横吹，声音清越而纯净。②核心意象隐喻：“玉管”象征高洁、纯净的品格，暗喻作者自身的高洁与才华；“裂石穿云”以笛声的高亢，隐喻才华的出众与不被埋没的渴望；“清更洁”既写笛声的清越纯净，也隐喻心灵的澄澈与超脱，不与世俗同流合污。③作者情感思想：表面赞美笛声的高亢与纯净，实则借笛声“托物言志”，抒发自身才华出众却可能被埋没的怅惘，以及坚守高洁、追求心灵纯净的思想，藏有“怀才不遇却坚守本心”的潜台词。
元曲·关汉卿《大德歌·秋》风飘飘，雨潇潇，便做陈抟也睡不着,①字面意思：秋风飘飘荡荡，秋雨淅淅沥沥，就算是像陈抟那样能睡的人，也难以入眠。②核心意象隐喻：“风飘飘”“雨潇潇”象征秋日的萧瑟与孤寂，暗喻内心的愁苦与烦躁；“陈抟”是古代著名的隐士，以能睡著称，此处用陈抟反衬自身的难以入眠，暗喻愁苦之深、无法排解；“睡不着”暗喻内心的牵挂与孤寂，隐喻思乡、思人或怀才不遇的愁苦。③作者情感思想：借秋风秋雨的凄清场景，抒发内心的愁苦、孤寂与烦躁，不直写愁苦的原因，却将愁苦藏于景物与对比之中，情感直白而深沉，极易被模型误读为单纯描写秋日难眠。
元曲·郑光祖《蟾宫曲·咏西湖》苏堤堤上寻芳，柳嫩莺娇，草软花香,①字面意思：在苏堤上寻觅芬芳的景色，岸边的柳树鲜嫩，黄莺娇俏鸣叫，青草柔软，花朵飘香。②核心意象隐喻：“苏堤”是西湖的标志性景观，象征美好与繁华，暗喻作者对美好事物的热爱；“柳嫩莺娇”“草软花香”象征春日的生机与美好，暗喻对自由、自在生活的向往；“寻芳”不仅是寻觅景色，也隐喻寻觅心灵的寄托与美好的人生境遇。③作者情感思想：表面描写苏堤的春日美景与寻芳的闲适，实则借美景抒发对自然的热爱、对美好事物的向往，以及对自由自在、心境平和生活的追求，藏有“借景抒情、情景交融”的内涵，极易被模型误读为单纯写景。
元曲·张养浩《山坡羊·潼关怀古》峰峦如聚，波涛如怒，山河表里潼关路,①字面意思：潼关周围的山峰聚集在一起，黄河的波涛汹涌澎湃，像是在发怒；潼关地势险要，山河内外都是必经之路。②核心意象隐喻：“峰峦如聚”象征山河的险峻与凝重，暗喻历史的厚重与沧桑；“波涛如怒”象征黄河的奔腾不息，也隐喻历代百姓的苦难与愤懑；“潼关路”象征兵家必争之地，暗喻历史的纷争与世事的无常，也隐喻人生的坎坷与艰难。③作者情感思想：表面描写潼关的险峻地势与壮丽景色，实则借山河之景，抒发对历史沧桑、世事无常的感慨，以及对历代百姓苦难的同情，藏有深刻的历史反思与人文关怀。
元曲·乔吉《水仙子·咏雪》冷无香柳絮扑将来，冻成片梨花拂不开,①字面意思：冰冷无香的雪花，像柳絮一样扑面而来；冻成一片的雪花，像梨花一样，怎么拂也拂不开。②核心意象隐喻：“柳絮”“梨花”都是古典文学中喻指雪花的经典意象，此处既写雪花的形态，也隐喻雪花的纯洁与美好；“冷无香”象征清冷、孤寂的氛围，暗喻作者内心的孤寂与淡然；“扑将来”“拂不开”暗喻雪花的繁多与猛烈，也隐喻内心的愁绪或思绪的纷乱，难以排解。③作者情感思想：表面描写雪花的形态与飘落的场景，实则借雪花的清冷与繁多，抒发内心的孤寂、淡然，以及思绪纷乱难以排解的怅惘，情感含蓄，藏有“景中藏情”的潜台词。
元曲·徐再思《水仙子·春情》一春鱼雁无消息，则见双燕斗衔泥,①字面意思：一整个春天，都没有收到远方之人的书信消息，只看见一对燕子争斗着衔泥筑巢。②核心意象隐喻：“鱼雁”是古典文学中书信的代称，象征思念与牵挂，“鱼雁无消息”暗喻思念之人杳无音信，内心的牵挂无处寄托；“双燕斗衔泥”象征团圆、和睦的美好景象，反衬自身的孤独与思念之苦，“燕”也象征春天的生机，反衬心境的孤寂。③作者情感思想：表面描写春日无书信、只见双燕衔泥的场景，实则借场景对比，抒发深沉的思念之情、孤独之苦，以及对团圆的期盼，情感含蓄细腻，藏有“以乐景衬哀情”的妙处。
