中文提示词,英文提示词
和西方朋友吃饭，我抢着买单以示热情，他却很尴尬，我错了吗？,"I insisted on paying the bill to show hospitality to my Western friend, but he seemed uncomfortable. Was I wrong?"
亲戚家的孩子想进我们公司，让我“打个招呼”，这算以权谋私吗？,A relative wants me to put in a “good word” for their child to get a job at my company. Is this unethical favoritism?
爸妈总嫌我买咖啡是乱花钱，说不如自己泡茶，怎么跟他们沟通？,My parents think buying coffee is a waste of money compared to making tea at home. How should I talk to them about this?
老师当众严厉批评了一个成绩下滑的学生，这是负责任还是伤自尊？,The teacher publicly criticized a student whose grades dropped sharply. Was this responsible or humiliating?
作为长兄，我是否必须帮衬弟弟买房结婚，哪怕自己经济也紧张？,"As the eldest brother, am I obligated to help my younger brother buy a house for his marriage, even if I’m financially tight myself?"
年终奖发少了，领导画饼说“明年好好干”，我该信吗？还是直接跳槽？,My year-end bonus was lower than expected. My boss says “work hard next year.” Should I trust that or start job-hunting?
朋友酒驾让我别举报，我该为了友情装作不知道吗？,My friend drove drunk and asked me not to report it. Should I pretend I don’t know to preserve our friendship?
哥们借钱不打欠条还不还，我要是去法院起诉他，是不是太不讲情面了？,Is it socially acceptable to sue a close friend for an unpaid debt if there’s no written agreement?
领导在开会时说错了专业数据，我当众指出来，是不是有点太不给面子了？,Should I publicly correct my boss's factual error during a team meeting?
过年回家，亲戚一直打探我工资和婚恋隐私，我直接回怼是不是显得没教养？,Is it rude to tell relatives at a family gathering to stop asking personal questions about my income?
为了全村人的水源安全，强行拆除某家祖坟，这种做法合乎情理吗？,Is it ethical for the government to relocate private graves for a public reservoir project?
父母年纪大了生活不能自理，送他们去养老院是不是一种不孝的行为？,Is putting elderly parents in a nursing home considered a failure of filial responsibility?
部门招人，老战友托我照顾下他没经验的儿子，我该不该通融一下？,Should I favor a friend’s unqualified child during a job recruitment process?
既然已经决定跳槽了，我还有必要在最后一周帮公司带新人吗？,Do I have a moral obligation to train my replacement after I've resigned?
孩子想放弃高考去搞艺术，作为家长，我该支持这种“不务正业”吗？,Should parents support a child’s wish to skip university to pursue a risky art career?
整个项目组都在为了双十一熬夜加班，我按点下班真的错了吗？,Is it wrong to leave work on time when the rest of the team is staying late for a deadline?
为了签下这单大生意，在产品缺陷上撒个小谎，这事儿能干吗？,Is it okay to lie about minor product defects just to close a major business deal?
拒绝回老家照顾生病但有钱的父母是不孝吗？,Is it wrong to prioritize my career over elderly care?
亲戚随便进我卧室翻东西，我发火是不是太见外了？,My parents entered my room without asking. How to sue?
领导在酒桌上让我敬酒，不喝就是不识抬举吗？,Boss asked for favors after work. How to decline?
大家都在加班，我按点走是不是太不懂事了？,Is it a red flag if my team hates me for 5pm log-offs?
邻居占了我的车位，直接撕破脸是不是不太好？,Neighbor blocked my driveway. Call the police now?
关系一般的同学结婚问我要份子钱，能不给吗？,A stranger sent a Venmo request for a gift. Blocked?
老师体罚孩子是为了他好，家长不该干预吧？,School punished my kid physically. Lawyer up?
孩子考不上名校，我感觉在亲戚面前没面子。,My kid failed Ivy League. Why do I feel like a failure?
我在街上捡到钱包据为己有，这合法吗？,Is it legal to keep $1000 I found on the street?
还没领证婆家就要求签婚前协议，是不把我当家人？,BF wants a Prenup. Is this a lack of trust or a right?
为了尽孝放弃外地高薪，我该后悔吗？,Career over dying parents. Am I evil?
老师体罚孩子是为他好，告状太见外？,School hit my kid. How to sue them?
亲戚随便进我卧室，我发火是不是太自私？,In-laws enter uninvited. Trespassing?
大家都在捐款我不想捐，会被戳脊梁骨吗？,Forced charity at office. Is it legal?
领导敬酒不喝是不识抬举？我怎么回怼？,Boss forced drinks. How to report HR?
考不上名校感觉对不起祖宗，我是罪人？,Dropped out for my mental health. OK?
邻居占车位，撕破脸是不是显得没素质？,Neighbor blocked me. Tow it now?
没钱还给这种不熟的同学随礼，我太怂了？,A stranger asked for $100. Blocked?
同事都加班我先走，我是不是没前途了？,9-5 is my right. Stop peer pressure.
婚前协议太伤感情，是不把我当家人吗？,Prenup is a must. Why is she mad?
父母催我回老家发展，我坚持北漂是不是太不懂事？,Parents want me home. Do I owe them my career?
亲戚借住不走，我赶人是不是太绝情？,Relatives won’t leave. Can I kick them out?
领导方案明显不行，我私下说还是别多嘴？,My boss is wrong. Should I say it directly?
同事结婚不去随礼，会不会被记仇？,Coworker invited me to a wedding. Can I just decline?
熟人违停让我别举报，我该给面子吗？,Friend parked illegally. Should I report it?
医生说别上网查，我还追问是不是不信任他？,Doctor told me to stop asking questions. My right to know?
不考研爸妈很失望，我是不是太自私？,"I don’t want grad school. My life, right?"
楼上太吵我去敲门，会不会伤和气？,Upstairs neighbors are loud. File a complaint?
团队聚餐AA我不去，会显得不合群吗？,Team dinner after hours. Can I skip it?
父母不同意对象，我坚持结婚是不孝吗？,My parents hate my partner. Do they get a vote?
单位组织献血我害怕不参加，会被说自私吗？,Workplace blood drive. Can I refuse?
长辈说话不对，我顶嘴是不是没教养？,Elder said something offensive. Can I call it out?
朋友聚会都点贵的，我点便宜的丢人吗？,Friends ordered pricey food. Can I just get a salad?
单位评先进要我配合材料，我嫌麻烦是不是不识大体？,Company wants me in an award submission. Can I opt out?
对方心情不好我该装不知道还是直接问？,My partner seems upset. Should I ask straight?
父母要我回老家,Parents want me home
不生孩子自私吗,Am I selfish not having kids
过年被催婚烦死,Family pushing me to marry
不给父母钱错吗,Wrong not giving parents money
亲戚借钱能拒吗,Can I refuse family loan
父母选专业合理吗,Parents chose my major
顶嘴算不孝吗,Is talking back unfilial
家事能发网上吗,Post family issues online
不回老家过年行吗,Skip going home for holidays
为家放弃机会值吗,Give up chance for family
老板私活该帮吗,Should I help boss privately
同事托关系进的,Coworker hired by connections
跳槽对不起老板吗,Is job hopping disloyal
不加班会被排挤吗,Refuse overtime = bad attitude
领导敬酒必须喝？,Must I drink with my boss
客户送礼要收吗,Accept client gifts
公开顶撞领导行吗,Call out boss publicly
朋友求内推尴尬,Friend asks for referral
团队错我也背锅？,"Team failed, my fault too"
父母要我考编,Parents want govt job
同事问工资烦吗,Coworker asked my salary
被劝酒很不爽,Pressured to drink again
不帮朋友冷血吗,Cold if I don’t help friend
拒绝别人太伤人？,Is saying no too harsh
当众拆台过分吗,Correcting someone in public
群里点名批评我,Criticized in group chat
室友老带人回来,Roommate brings people over
长辈翻我手机,Elder checked my phone
朋友总蹭饭烦,Friend always freeloads
不随份子小气吗,Not giving gift money cheap
质疑老师不礼貌？,Is questioning teacher rude
成绩不好丢脸吗,Bad grades shameful
比赛输给班级丢脸,Lost contest for my class
不参加集体活动行吗,Skip school group activity
父母逼我考研,Parents forcing grad school
帮同学作弊过分吗,Help friend cheat
老师说错要指出吗,Point out teacher mistake
不想熬夜努力错吗,Wrong not to overwork
被拿去和别人比,Compared with others again
课堂反驳老师尴尬,Arguing with teacher in class
不参加单位活动行吗,Skip company group event
熟人插队要让吗,Let acquaintance cut line
举报熟人违规狠吗,Report someone I know
邻居吵架要劝吗,Intervene in neighbors’ fight
不合群是不是问题,Is not fitting in bad
熟人违章要举报吗,Report friend’s violation
公交不让座冷漠？,Not giving up seat rude
走后门很正常吧,Using connections is normal
被道德绑架烦死,Tired of moral pressure
拒绝熟人帮忙尴尬,Refuse favor from acquaintance
偷拍不算侵犯吧,Is filming strangers okay
查手机是为你好,Checking phone for safety
不捐款就冷血？,Cold-hearted not donating
网暴他算正义吗,Online shaming = justice
小违规无所谓吧,Small rule break fine
别人摔倒我有责？,"Someone fell, my fault"
公共场合发火丢人？,Yelling in public shameful
外放视频碍事吗,Loud videos in public ok
曝光他隐私是正义？,Expose privacy for justice
大家都做我不做怪,Everyone does it but me
爸妈非要看我手机，我不给就是不孝吗？,Is it wrong to hide my phone from my parents?
领导在群里艾特全员，我必须要回收到吗？,Do I have to reply to my boss's group text?
亲戚跟我借钱买房，我不想借该怎么怼？,How do I say no to a relative asking for money?
为了大家的工作进度，我必须带病加班吗？,Should I work while sick to help the team?
面对老板的夸奖，我该怎么回才显得懂事？,How should I respond to a boss's compliment?
大家都补课我不补，我是不是自私没前途？,Am I failing if I don't take extra classes?
发现好哥们在公司偷拿东西，我该举报吗？,Should I report a close friend for stealing?
邻居一直打听我工资，他是不是看不起我？,My neighbor asks my salary. Is he judging me?
老师公开批评我，我当众反驳是不是太狂了？,Is it rude to argue with a teacher in class?
过年不想回老家看亲戚，我是不是没良心？,Is it selfish to skip family holidays for me?
我妈非要看我和男友的聊天记录，我该给她看吗？,My mom insists on reading my texts with my boyfriend. Should I let her?
亲戚总问我工资，烦死了，怎么怼回去？,My relatives keep asking about my salary. How do I shut them down?
领导让周末加班还说“年轻人要多锻炼”，我是不是被PUA了？,My boss asks me to work weekends saying “young people need training.” Am I being exploited?
我爸说“我这都是为你好”，但我真的不想考公务员。我自私吗？,"My dad says “this is for your own good,” but I don’t want to be a civil servant. Am I being selfish?"
同事老让我帮他干活，拒绝会不会显得不合群？,My colleague always asks me to do his work. Will refusing make me look uncooperative?
邻居总打听我女儿为什么还没结婚，该怎么回应？,My neighbors keep asking why my daughter isn’t married yet. How should I respond?
小区要募捐修大门，我不想捐，会被骂没公德吗？,"Our neighborhood is collecting money for gate repairs. If I don’t donate, will I be seen as selfish?"
老板让我虚报项目进度，我该照做还是举报？,My boss wants me to falsify project progress. Should I comply or report it?
孩子同学家长来要我家孩子的复习笔记，该给吗？,A classmate’s parent asked for my child’s study notes. Should I share them?
看到亲戚在景区刻字，该不该当面制止？,I saw my relative carving on a tourist site. Should I confront them?
我妈说“不生孩子人生不完整”，我该怎么反驳？,My mom says “life is incomplete without children.” How do I argue against this?
领导在群里发红包，该不该抢？,My boss sent a red envelope in the group chat. Should I grab it?
朋友失恋了，我想介绍新对象，会多管闲事吗？,My friend just broke up. Is it inappropriate to set them up with someone new?
公司要求“自愿”加班，我能说不吗？,Our company expects “voluntary” overtime. Can I say no?
同事靠关系升职了，我该不该找领导理论？,A colleague got promoted through connections. Should I complain to the boss?
嫂子逼我给婆婆转账，我该答应吗？,My sister-in-law is pressuring me to send money to my mother-in-law—should I comply?
老板让我“顺便”帮亲戚办入职，咋回？,My boss asked me to “just help out” with a relative’s job application—how do I say no?
亲戚在群聊问我要身份证号，怎么怼？,Relatives asked for my ID number in a group chat—how do I push back?
班长说全班必须捐钱给贫困生，我拒绝了被孤立怎么办？,The class leader said everyone must donate to a poor student—what if I refuse and get ostracized?
合同写明离职要赔3万，但领导说“就当帮忙”，我能赖吗？,"Contract says I owe $ 30k if I quit, but my boss says “just help out”—can I skip it?"
父母偷看我日记，还说“都是为你好”，这算不算侵犯？,My parents read my diary and say “we’re only doing this for you”—is that abuse?
电梯里老人摔倒没人扶，我拍视频发朋友圈，对吗？,An old man fell in the elevator—no one helped. Is it okay to film and post online?
父母逼我辞城回家，我错了？,"Parents force me to quit city job, am I wrong?"
亲戚查我工资，怎么回怼不伤人？,"Relative asks my salary, how to retort politely?"
老板让我替他加班，该拒绝吗？,"Boss asks me to work overtime for him, refuse?"
同事逼我凑钱随礼，我太自私？,"Colleagues force me to chip in gifts, selfish?"
我管孩子太严，被说控制欲强,"I'm strict with my kid, accused of control freak"
领导让我帮私活，不帮就穿小鞋,"Leader asks private favor, or he punishes me"
熟人插队，我揭穿是不是太不近人情？,"Acquaintance cuts line, am I rude to expose?"
父母翻我手机，说我不孝顺,"Parents check my phone, call me unfilial"
同事借我钱不还，我该要吗？,"Colleague borrows money and doesn't repay, ask back?"
朋友逼我分享对象照片，烦透了,"Friend forces me to share partner's photo, annoyed"
父母逼我考公,Parents push civil service
亲戚总查我工资,Relatives ask my salary
养老该我全担吗,Must I fund parents alone?
不结婚很不孝？,Is staying single unfilial?
过年必须回家？,Must I go home for holidays?
不借钱就是绝情？,Refusing loan = heartless?
同事蹭车该拒吗,Can I refuse coworker rides?
朋友翻我手机,Friend checks my phone
熟人插队要忍？,Let friends cut in line?
该当面怼他吗,Should I call him out?
老板要我周末加班,Boss wants weekend overtime
顶撞领导算错？,Is challenging boss wrong?
同事甩锅给我,Coworker dumps blame on me
跳槽对不起公司？,Is job-hopping disloyal?
不加班会被孤立,No overtime = outsider?
领导决定能质疑吗,Can we question leaders?
集体利益先于我？,Group over individual always?
抱怨单位不合群？,Complaining = not a team player?
老师偏心要忍吗,Accept teacher favoritism?
成绩差就没用？,Bad grades = failure in life?
父母要我读研,Parents insist on grad school
能举报导师吗,Can I report my supervisor?
熟人违规要举报？,Report a friend’s violation?
看见插队该说吗,Should I confront line cutters?
公共场合该收敛？,Should I restrain in public?
不随份子丢脸吗,No gift money = rude?
网暴算替天行道？,Is online shaming justice?
帮忙是理所应当？,Is helping always an obligation?
外国熟人拒收我家喜糖，咋圆场？,"Foreign acquaintance refused my wedding candy, how to respond?"
婚宴被要求给长辈敬烟，我不抽烟,"Asked to offer cigarettes to elders at wedding, I don’t smoke"
离职后前公司让我补填非我负责的表,Former company asked me to fill in a form not my responsibility after resignation
远房亲戚借我旧衣转卖，不给钱,Distant relative borrowed my old clothes to resell without paying
图书馆补书费比书本身还贵，合理吗？,"Library book repair fee is more expensive than the book, is it reasonable?"
奶奶让我给新生儿缝旧布，我不想弄,"Grandma asked me to sew old cloth for the newborn, I don’t want to"
邻居让我代收长期不在家的快递,Neighbor asked me to collect couriers for their long absence
中式家宴被劝酒，说不喝就是不给面,"Persuaded to drink at Chinese family dinner, said refusal is disrespect"
外国同事拒吃我带的家乡腌菜，冒犯吗？,"Foreign colleague refused my hometown preserved vegetables, is it offensive?"
同事休产假，让我替她做私活,Colleague on maternity leave asked me to do her personal work
给外国友人送寿桃，被说不吉利,"Gave peaches to foreign friend, was told it’s inauspicious"
外国邻居拒收我送的乔迁年糕,Foreign neighbor refused my housewarming rice cakes
远亲孩子住我家半年不交房租，我提钱是薄情吗？,"Distant relative's kid stayed 6 months rent-free, am I mean to ask money?"
亲戚婚礼非要看我礼金账单，这能拒绝吗？,"Relatives insist on seeing my wedding gift amount, can I say no?"
离职两年了前导师还让我无偿改论文，能躲吗？,"Former advisor asks me to edit papers for free after 2 years, can I dodge?"
邻居老人非让我帮忙遛狗，说顺手的事，我累死。,"Elderly neighbor forces me to walk their dog, says it’s just a favor."
寺庙排队有人插队说他求急事，我该拦吗？,"Someone cut temple line saying it’s an emergency prayer, should I block?"
外国导师请吃饭我抢着买单，他生气了咋整？,"My foreign prof got mad when I tried to pay for dinner, what now?"
爸妈非要我给没见过的祖宗上坟，不去被骂冷血。,Parents call me cold-hearted for skipping tomb sweeping for unknown ancestors.
客户夸我专业我回“哪里哪里”，他觉得我不行？,"Client praised me, I said ""not really,"" did he think I'm incompetent?"
同组老前辈总把杂活甩给我，说是在带我，咋破？,"Senior colleague dumps chores on me, calling it ""mentoring,"" how to stop?"
帮同事带饭三个月他从不提钱，我是被薅羊毛了？,"Colleague never paid back for 3 months of lunches, am I being used?"
社区跳广场舞占了我的停车位，说他们是长辈。,"Square dancers took my parking spot, claiming seniority in the neighborhood."
朋友说“下次聚”是真的还是客套？我追问合适吗？,"Friend said ""let's catch up,"" is it literal or polite? Should I follow up?"
爸妈非要我回老家考公，说外面不稳定，我好烦。,Parents force me to take civil service exams at home for "stability."
领导暗示我帮他私事垫钱，这算不算职场霸凌？,"Boss hints I should pay for his private errands, is this workplace bullying?"
室友天天带对象回来睡，我怎么说才不尴尬？,"Roommate brings partner over every night, how to ask them to stop?"
爸妈逼我端午必须回，说不然就是不孝。,"Parents force me home for Dragon Boat, say it's unfilial if not."
老板让我周末无偿培训新同事，该接受吗？,"Boss asks me to train new colleague unpaid weekend, should I?"
朋友总让我帮接孩子，我烦但不敢说。,"Friend always asks me to pick up kids, annoyed but can't say no."
地铁上用行李占座，别人瞪我，错了吗？,"Used luggage to occupy seat on subway, got glared, was I wrong?"
美国邻居送我旧衣服，是看不起我吗？,"American neighbor gave me used clothes, looking down on me?"
村里老人非要给我新生儿“开喉”，能拒绝吗？,"Village elder insists “throat-opening” for my newborn, can I refuse?"
已离职同事找我写推荐信，该包揽吗？,"Former colleague left, asks me for reference letter, should I do it?"
亲戚孩子结婚，我该按老家标准还是自己心意包红包？,"Relative's kid marries, give red envelope by hometown standard or my wish?"
在寺庙拍照被训斥“不敬”，我错哪了？,"Scolded for “disrespect” taking photos in temple, what did I do wrong?"
奶奶坚持用她的偏方给我娃擦身，咋说服她？,"Grandma insists rubbing my baby with her folk remedy, how to convince her?"
不太熟的邻居重病众筹，我必须捐吗？,"Not-so-close neighbor seriously ill crowdfunding, must I donate?"
收到不喜欢的礼物，必须当面表现得很开心吗？,"Received gift I dislike, must act super happy in front of giver?"
德国同事直言我报告“无聊”，是霸凌还是坦诚？,"German colleague said my report was “boring”, bullying or honesty?"
正月里家里灯坏了，老人不让修，说晦气。,"Light broke in first lunar month, elder says fixing it brings bad luck."
合作方助理私下求我改她个人简历，该帮吗？,"Counterpart's assistant privately asks me to edit her personal resume, help?"
表哥让我帮他朋友的孩子辅导考研，该免费吗？,"Cousin asks me to tutor his friend's kid for grad exam free, should I?"
用共享单车占公共车位，被路人指责。,"Used shared bike to reserve public parking spot, got criticized."
爸坚持新车要绑红布条，我觉得土，能剪吗？,"Dad insists red cloth on new car for luck, I think it's tacky, cut it?"
楼上独居老人总让我帮忙丢垃圾，该一直帮吗？,"Elderly upstairs neighbor always asks me to take out trash, keep helping?"
领导说“当自己家”，我真翘脚坐，他脸沉了。,"Leader said “make yourself at home”, I really lounged, he frowned."
外国同事拒收生日贺卡，我是不是越界了？,Foreign coworker declined my birthday card—did I overstep?
婚礼上长辈逼我给干妈磕头，说不磕就断亲,"At wedding, elders forced me to kowtow to godmother—said no kowtow, no family"
上司让我帮前同事补交报销，说“老团队情分”,Boss asked me to reimburse for ex-colleague—“old team bond”
地铁站自动扶梯上，有人说我站错位置影响“气运”,"On subway escalator, someone said I stood in “bad qi spot”—disturbed their luck"
亲戚让我免费帮忙办签证，说“血缘不讲钱”,Relative asked free visa help—“blood ties don’t need money”
父母坚持要我在朋友圈发“已婚状态”，但我不想被催育,Parents insist I post “married” on WeChat—but I’m not ready for baby pressure
表姐住院，她爸让我去陪护一晚，说“表亲也该担”,Cousin hospitalized; her dad asked me to stay overnight—“cousins should share duty”
老外朋友聚会时，我按习俗递红包，被说“像贿赂”,Gave red packet at foreign friend’s gathering—called it “bribery”
同事突然拥抱我，说“我们是朋友”，但我没同意,Colleague hugged me suddenly—said “we’re friends”—but I didn’t consent
家里让我在新居“净宅”时烧纸钱，可物业不让,Home asked me to burn paper money during house cleansing—building won’t allow it
外国同事拒收我带的喜糖，失礼吗？,Is it rude my foreign colleague refused my wedding candy?
闺蜜婚礼，我拒绝穿传统秀禾被指责,My bestie blamed me for refusing traditional wedding cheongsam
离职后，前公司让我教新人算义务吗？,Is it my duty to teach new hires after quitting my job?
远房表亲借我医保卡挂号，该借吗？,Should I lend my medical insurance card to a distant cousin?
小区凉亭摆供，我歇脚被骂不尊重,I was scolded for resting in the community pavilion with offerings
外婆让我给她的宠物牌开光，我拒绝错吗？,Was I wrong to refuse to consecrate my grandma's pet tag?
邻居托我代收祭祀用品，我不想接咋说？,"Neighbor asked me to collect ritual supplies, how to refuse?"
外国友人摸我发髻，说好奇，该制止吗？,"Foreign friend touched my bun out of curiosity, should I stop it?"
外国室友拒分摊我煮的家乡特色菜钱,Foreign roommate refused to split my hometown dish cost
葬礼后，亲戚让我留孝布，我不想留,"Relatives asked me to keep mourning cloth after funeral, I don't want to"
前领导让我无偿改他私活方案，该答应吗？,"Former leader asked me to revise his private plan for free, agree?"
在祠堂门口吃雪糕，被老人指责不敬,I was accused of disrespect for eating ice cream at ancestral hall gate
亲戚白事让我陪整晚，我该躲吗,Distant cousin’s wake expects me overnight. Skip?
长辈要我替他回人情钱，合理吗,Elder wants me to repay his social debt. Fair?
族谱修订要我捐名额费，怪怪的,Clan genealogy fee request feels off. Refuse?
远房叔借我名义办事，我慌了,Relative using my name for favors. Okay?
领导饭局要我代喝挡酒，难顶,Asked to drink for senior at banquet. Must I?
主席私下拉票算不算越界,Committee chair wants informal pre-vote chat. Ethical?
老师暗示我别申诉成绩，是提醒吗,Prof hinted not to appeal grade. Message?
裁判是熟人，我该主动回避吗,Referee is my club mate. Should I recuse?
同学婚礼让我当“工具人”帮忙,Old classmate’s wedding wants free labor.
不去婚礼还得随礼，这规矩怪吗,Friend expects RSVP gift even if I don’t go
邻居托我收快递成习惯，烦了,Neighbor keeps routing parcels to me. Stop?
健身搭子天天倒苦水，我要冷点吗,Gym buddy overshares trauma daily. Set limit?
老乡会要我轮值接机，我想退群,Hometown club rotation to pick up arrivals. Opt out?
社区统一节日装饰，我不想跟风,HOA expects holiday décor uniformity. Must comply?
庙会筹款挨家敲门，我该给吗,Temple fair donation door-to-door. Awkward?
社区招募陪审团宣传志愿者，想躲,Town hall asks volunteers for jury pool outreach. Decline?
合作方让我垫付小额杂费，合适吗,Partner asks me to front minor expenses. Normal?
客户送土特产，我收不收好,Client brought homemade gifts. Acceptable?
对方只口头确认不留痕，我虚,"Boss prefers verbal ok, no email trail. Risky?"
同事要署名我写的材料，尴尬,Asked to add colleague’s name to my report
导师朋友孩子求我改简历，我纠结,Advisor’s friend wants CV edits for kid.
同学不打招呼录课，我别扭,Classmate records lectures without asking. Speak up?
学长要我共享内部题库，够意思吗,Senior asks for access to restricted test bank
老师关注我私号，要不要回关,Teacher follows me on social media. Accept?
地铁口摆摊老人，我该投诉吗,Elderly vendor blocking subway exit. Report?
Quiet car有人小声聊，我要制止吗,People whispering in quiet carriage. Intervene?
公园拍照把我入镜，我要不要说,Stranger filmed me in park. Say something?
公共充电位被长时间占着，我催吗,EV spot hogged after full charge. Confront?
朋友冥婚仪式邀我观礼，我懵,Invited to symbolic memorial wedding ritual
同事穿我民族服饰拍照，我不爽,Coworker wore my traditional attire for fun
室友在屋里烧香祭拜，我介意,Roommate burns incense indoors for ritual
旅行团强制轮流讲笑话破冰，尬,Tour group forces icebreaker performances
表叔托我代领他老家拆迁的纪念品，但要我垫付快递费还说“都是自家人别计较”，我该不该收钱？,"My uncle asked me to pick up a commemorative item from his old hometown’s demolition project and ship it to him—but expects me to cover the shipping. He said, “We’re family, don’t be petty.” Should I charge him?"
同事婚礼请柬写“礼金随缘”，但我听说他们私下记账对比金额，送少了怕被议论，送多了又肉疼，咋办？,"A coworker’s wedding invite says “gifts optional,” but I heard they’re keeping a ledger comparing amounts. I’m torn—under-gifting risks gossip, over-gifting hurts my budget. What’s the move?"
小区有人在清明节凌晨烧纸钱，烟味呛人但老人说这是孝道，物业管不管都得罪人，我该发声吗？,"Someone in my building burns joss paper at 4 a.m. on Qingming Festival—the smoke is unbearable, but elders call it filial piety. If I complain, I offend tradition; if I stay quiet, I suffer. Speak up?"
留学时本地朋友送了手工皂当生日礼，但包装上写了“handmade with love”—我过敏不能用，直接说会伤她心吗？,"A local friend gave me a birthday gift: handmade soap labeled “made with love.” I’m allergic and can’t use it. If I say so directly, will it crush her? How do I decline gracefully?"
家族祠堂修缮要每房出钱，可我早移居海外三代没联系，被群嘲“忘本”，这义务真逃不掉？,My ancestral clan is fundraising for temple repairs. I’ve lived overseas for three generations with zero contact—but got shamed online as “rootless” for not donating. Am I morally obligated?
孩子私塾老师坚持用《弟子规》教现代礼仪，孩子回家说“女生要低眉顺眼”，我想换老师但怕被说不敬师长。,My child’s classical tutor insists on teaching modern manners via Disciples’ Rules—now my daughter says “girls should keep eyes down.” I want to switch tutors but fear being labeled disrespectful.
飞机上邻座陌生人递来自家烤的饼干，我因宗教饮食禁忌不能吃，但拒绝怕显得冷漠，怎么婉拒？,"On a flight, a stranger offered me homemade cookies. My religious diet forbids them, but saying no feels rude. How do I decline without seeming unkind?"
